img_a,img_b
/home/akif/Desktop/archive/left/left/03405.jpg,/home/akif/Desktop/archive/right/right/03405.jpg
/home/akif/Desktop/archive/left/left/01277.jpg,/home/akif/Desktop/archive/right/right/01277.jpg
/home/akif/Desktop/archive/left/left/03989.jpg,/home/akif/Desktop/archive/right/right/03989.jpg
/home/akif/Desktop/archive/left/left/05754.jpg,/home/akif/Desktop/archive/right/right/05754.jpg
/home/akif/Desktop/archive/left/left/05786.jpg,/home/akif/Desktop/archive/right/right/05786.jpg
/home/akif/Desktop/archive/left/left/02958.jpg,/home/akif/Desktop/archive/right/right/02958.jpg
/home/akif/Desktop/archive/left/left/05276.jpg,/home/akif/Desktop/archive/right/right/05276.jpg
/home/akif/Desktop/archive/left/left/00610.jpg,/home/akif/Desktop/archive/right/right/00610.jpg
/home/akif/Desktop/archive/left/left/02752.jpg,/home/akif/Desktop/archive/right/right/02752.jpg
/home/akif/Desktop/archive/left/left/00627.jpg,/home/akif/Desktop/archive/right/right/00627.jpg
/home/akif/Desktop/archive/left/left/01499.jpg,/home/akif/Desktop/archive/right/right/01499.jpg
/home/akif/Desktop/archive/left/left/05355.jpg,/home/akif/Desktop/archive/right/right/05355.jpg
/home/akif/Desktop/archive/left/left/01038.jpg,/home/akif/Desktop/archive/right/right/01038.jpg
/home/akif/Desktop/archive/left/left/04234.jpg,/home/akif/Desktop/archive/right/right/04234.jpg
/home/akif/Desktop/archive/left/left/02933.jpg,/home/akif/Desktop/archive/right/right/02933.jpg
/home/akif/Desktop/archive/left/left/05084.jpg,/home/akif/Desktop/archive/right/right/05084.jpg
/home/akif/Desktop/archive/left/left/03635.jpg,/home/akif/Desktop/archive/right/right/03635.jpg
/home/akif/Desktop/archive/left/left/05093.jpg,/home/akif/Desktop/archive/right/right/05093.jpg
/home/akif/Desktop/archive/left/left/02527.jpg,/home/akif/Desktop/archive/right/right/02527.jpg
/home/akif/Desktop/archive/left/left/01279.jpg,/home/akif/Desktop/archive/right/right/01279.jpg
/home/akif/Desktop/archive/left/left/01363.jpg,/home/akif/Desktop/archive/right/right/01363.jpg
/home/akif/Desktop/archive/left/left/03151.jpg,/home/akif/Desktop/archive/right/right/03151.jpg
/home/akif/Desktop/archive/left/left/01467.jpg,/home/akif/Desktop/archive/right/right/01467.jpg
/home/akif/Desktop/archive/left/left/04285.jpg,/home/akif/Desktop/archive/right/right/04285.jpg
/home/akif/Desktop/archive/left/left/01494.jpg,/home/akif/Desktop/archive/right/right/01494.jpg
/home/akif/Desktop/archive/left/left/04922.jpg,/home/akif/Desktop/archive/right/right/04922.jpg
/home/akif/Desktop/archive/left/left/02401.jpg,/home/akif/Desktop/archive/right/right/02401.jpg
/home/akif/Desktop/archive/left/left/03959.jpg,/home/akif/Desktop/archive/right/right/03959.jpg
/home/akif/Desktop/archive/left/left/00871.jpg,/home/akif/Desktop/archive/right/right/00871.jpg
/home/akif/Desktop/archive/left/left/02160.jpg,/home/akif/Desktop/archive/right/right/02160.jpg
/home/akif/Desktop/archive/left/left/03779.jpg,/home/akif/Desktop/archive/right/right/03779.jpg
/home/akif/Desktop/archive/left/left/04419.jpg,/home/akif/Desktop/archive/right/right/04419.jpg
/home/akif/Desktop/archive/left/left/00430.jpg,/home/akif/Desktop/archive/right/right/00430.jpg
/home/akif/Desktop/archive/left/left/04138.jpg,/home/akif/Desktop/archive/right/right/04138.jpg
/home/akif/Desktop/archive/left/left/01175.jpg,/home/akif/Desktop/archive/right/right/01175.jpg
/home/akif/Desktop/archive/left/left/04303.jpg,/home/akif/Desktop/archive/right/right/04303.jpg
/home/akif/Desktop/archive/left/left/03620.jpg,/home/akif/Desktop/archive/right/right/03620.jpg
/home/akif/Desktop/archive/left/left/03266.jpg,/home/akif/Desktop/archive/right/right/03266.jpg
/home/akif/Desktop/archive/left/left/01085.jpg,/home/akif/Desktop/archive/right/right/01085.jpg
/home/akif/Desktop/archive/left/left/01473.jpg,/home/akif/Desktop/archive/right/right/01473.jpg
/home/akif/Desktop/archive/left/left/02626.jpg,/home/akif/Desktop/archive/right/right/02626.jpg
/home/akif/Desktop/archive/left/left/05588.jpg,/home/akif/Desktop/archive/right/right/05588.jpg
/home/akif/Desktop/archive/left/left/01737.jpg,/home/akif/Desktop/archive/right/right/01737.jpg
/home/akif/Desktop/archive/left/left/05087.jpg,/home/akif/Desktop/archive/right/right/05087.jpg
/home/akif/Desktop/archive/left/left/01408.jpg,/home/akif/Desktop/archive/right/right/01408.jpg
/home/akif/Desktop/archive/left/left/04092.jpg,/home/akif/Desktop/archive/right/right/04092.jpg
/home/akif/Desktop/archive/left/left/04123.jpg,/home/akif/Desktop/archive/right/right/04123.jpg
/home/akif/Desktop/archive/left/left/05480.jpg,/home/akif/Desktop/archive/right/right/05480.jpg
/home/akif/Desktop/archive/left/left/05817.jpg,/home/akif/Desktop/archive/right/right/05817.jpg
/home/akif/Desktop/archive/left/left/00038.jpg,/home/akif/Desktop/archive/right/right/00038.jpg
/home/akif/Desktop/archive/left/left/01137.jpg,/home/akif/Desktop/archive/right/right/01137.jpg
/home/akif/Desktop/archive/left/left/05213.jpg,/home/akif/Desktop/archive/right/right/05213.jpg
/home/akif/Desktop/archive/left/left/05412.jpg,/home/akif/Desktop/archive/right/right/05412.jpg
/home/akif/Desktop/archive/left/left/04968.jpg,/home/akif/Desktop/archive/right/right/04968.jpg
/home/akif/Desktop/archive/left/left/01158.jpg,/home/akif/Desktop/archive/right/right/01158.jpg
/home/akif/Desktop/archive/left/left/05444.jpg,/home/akif/Desktop/archive/right/right/05444.jpg
/home/akif/Desktop/archive/left/left/02522.jpg,/home/akif/Desktop/archive/right/right/02522.jpg
/home/akif/Desktop/archive/left/left/03014.jpg,/home/akif/Desktop/archive/right/right/03014.jpg
/home/akif/Desktop/archive/left/left/03838.jpg,/home/akif/Desktop/archive/right/right/03838.jpg
/home/akif/Desktop/archive/left/left/00018.jpg,/home/akif/Desktop/archive/right/right/00018.jpg
/home/akif/Desktop/archive/left/left/05735.jpg,/home/akif/Desktop/archive/right/right/05735.jpg
/home/akif/Desktop/archive/left/left/02904.jpg,/home/akif/Desktop/archive/right/right/02904.jpg
/home/akif/Desktop/archive/left/left/00299.jpg,/home/akif/Desktop/archive/right/right/00299.jpg
/home/akif/Desktop/archive/left/left/00173.jpg,/home/akif/Desktop/archive/right/right/00173.jpg
/home/akif/Desktop/archive/left/left/02279.jpg,/home/akif/Desktop/archive/right/right/02279.jpg
/home/akif/Desktop/archive/left/left/03172.jpg,/home/akif/Desktop/archive/right/right/03172.jpg
/home/akif/Desktop/archive/left/left/00394.jpg,/home/akif/Desktop/archive/right/right/00394.jpg
/home/akif/Desktop/archive/left/left/03940.jpg,/home/akif/Desktop/archive/right/right/03940.jpg
/home/akif/Desktop/archive/left/left/02103.jpg,/home/akif/Desktop/archive/right/right/02103.jpg
/home/akif/Desktop/archive/left/left/04843.jpg,/home/akif/Desktop/archive/right/right/04843.jpg
/home/akif/Desktop/archive/left/left/03986.jpg,/home/akif/Desktop/archive/right/right/03986.jpg
/home/akif/Desktop/archive/left/left/01691.jpg,/home/akif/Desktop/archive/right/right/01691.jpg
/home/akif/Desktop/archive/left/left/05571.jpg,/home/akif/Desktop/archive/right/right/05571.jpg
/home/akif/Desktop/archive/left/left/00316.jpg,/home/akif/Desktop/archive/right/right/00316.jpg
/home/akif/Desktop/archive/left/left/01495.jpg,/home/akif/Desktop/archive/right/right/01495.jpg
/home/akif/Desktop/archive/left/left/01268.jpg,/home/akif/Desktop/archive/right/right/01268.jpg
/home/akif/Desktop/archive/left/left/00527.jpg,/home/akif/Desktop/archive/right/right/00527.jpg
/home/akif/Desktop/archive/left/left/02541.jpg,/home/akif/Desktop/archive/right/right/02541.jpg
/home/akif/Desktop/archive/left/left/05773.jpg,/home/akif/Desktop/archive/right/right/05773.jpg
/home/akif/Desktop/archive/left/left/05303.jpg,/home/akif/Desktop/archive/right/right/05303.jpg
/home/akif/Desktop/archive/left/left/00971.jpg,/home/akif/Desktop/archive/right/right/00971.jpg
/home/akif/Desktop/archive/left/left/00515.jpg,/home/akif/Desktop/archive/right/right/00515.jpg
/home/akif/Desktop/archive/left/left/01259.jpg,/home/akif/Desktop/archive/right/right/01259.jpg
/home/akif/Desktop/archive/left/left/03142.jpg,/home/akif/Desktop/archive/right/right/03142.jpg
/home/akif/Desktop/archive/left/left/04007.jpg,/home/akif/Desktop/archive/right/right/04007.jpg
/home/akif/Desktop/archive/left/left/00364.jpg,/home/akif/Desktop/archive/right/right/00364.jpg
/home/akif/Desktop/archive/left/left/03876.jpg,/home/akif/Desktop/archive/right/right/03876.jpg
/home/akif/Desktop/archive/left/left/04212.jpg,/home/akif/Desktop/archive/right/right/04212.jpg
/home/akif/Desktop/archive/left/left/01216.jpg,/home/akif/Desktop/archive/right/right/01216.jpg
/home/akif/Desktop/archive/left/left/00931.jpg,/home/akif/Desktop/archive/right/right/00931.jpg
/home/akif/Desktop/archive/left/left/04917.jpg,/home/akif/Desktop/archive/right/right/04917.jpg
/home/akif/Desktop/archive/left/left/00346.jpg,/home/akif/Desktop/archive/right/right/00346.jpg
/home/akif/Desktop/archive/left/left/04926.jpg,/home/akif/Desktop/archive/right/right/04926.jpg
/home/akif/Desktop/archive/left/left/02856.jpg,/home/akif/Desktop/archive/right/right/02856.jpg
/home/akif/Desktop/archive/left/left/01933.jpg,/home/akif/Desktop/archive/right/right/01933.jpg
/home/akif/Desktop/archive/left/left/05456.jpg,/home/akif/Desktop/archive/right/right/05456.jpg
/home/akif/Desktop/archive/left/left/04336.jpg,/home/akif/Desktop/archive/right/right/04336.jpg
/home/akif/Desktop/archive/left/left/01483.jpg,/home/akif/Desktop/archive/right/right/01483.jpg
/home/akif/Desktop/archive/left/left/00566.jpg,/home/akif/Desktop/archive/right/right/00566.jpg
/home/akif/Desktop/archive/left/left/05203.jpg,/home/akif/Desktop/archive/right/right/05203.jpg
/home/akif/Desktop/archive/left/left/02150.jpg,/home/akif/Desktop/archive/right/right/02150.jpg
/home/akif/Desktop/archive/left/left/00862.jpg,/home/akif/Desktop/archive/right/right/00862.jpg
